,coral_reef_2MR,coral_reef_OTHER,reef_fish,pelagic_fish,wetlands,lakes,invertebrates,biodiversity,turtles,dive_tourism,fishing_tourism,illegal_clearance,community_fishing,pesticides,community_acceptance,operator_acceptance,employment,community_income,climate_impacts,climate_resilience
coral_reef_2MR,,,2,,,,,2,1,3,,,1,,,,,,,1
coral_reef_OTHER,1,,2,,,,,2,1,2,,,,,,,,,,1
reef_fish,2,2,,2,,,,1,,,,,,,,,,,,
pelagic_fish,,,,,,,,1,,,3,,,,,,,,,
wetlands,,,1,,,1,,1,,,,,,,,,,,,
lakes,,,,,1,,,,,,,,,,,,,,,
invertebrates,3,3,2,,,,,2,,,,,,,,,,,,2
biodiversity,,,,,,,,,,,,,,,,,,,,3
turtles,,,,,,,,,,,,,,,,,1,,,
dive_tourism,-2,-1,,,,,,,,,,,,,,3,3,1,,
fishing_tourism,,,,-2,,,,,,,,,,,,2,1,,,
illegal_clearance,,,,,-3,-1,,-2,,,,,,,,,,,,
community_fishing,,,-1,,,,,,,,,,,,,,,,,
pesticides,,-1,,,,-2,,,,,,,,,,,,,,
community_acceptance,,,,,,,,,,,,,,,,,,,,
operator_acceptance,,,,,,,,,,,,,,,,,,,,
employment,,,,,,,,,,,,-2,-1,-1,2,,,3,,
community_income,,,,,,1,,,,,,-1,-1,,2,,,,,
climate_impacts,,,,,-2,-2,-3,-3,-1,,,,,,,,,,,
climate_resilience,,,,,,,,,,,,,,,,,,,-3,
