id,node.type,node.name,coral_reef_2MR,coral_reef_OTHER,reef_fish,pelagic_fish,wetlands,lakes,invertebrates,biodiversity,turtles,dive_tourism,fishing_tourism,illegal_clearance,community_fishing,pesticides,community_acceptance,operator_acceptance,employment,community_income,climate_impacts,climate_resilience
S01,1,coral_reef_2MR,,,2,,,,,2,1,3,,,1,,,,,,,1
S02,1,coral_reef_OTHER,1,,2,,,,,2,1,2,,,,,,,,,,1
S03,1,reef_fish,2,2,,2,,,,1,,,,,,,,,,,,
S04,1,pelagic_fish,,,,,,,,1,,,3,,,,,,,,,
S05,1,wetlands,,,1,,,1,,1,,,,,,,,,,,,
S06,1,lakes,,,,,1,,,,,,,,,,,,,,,
S07,1,invertebrates,3,3,2,,,,,2,,,,,,,,,,,,2
S08,1,biodiversity,,,,,,,,,,,,,,,,,,,,3
S09,1,turtles,,,,,,,,,,,,,,,,,1,,,
S10,2,dive_tourism,-2,-1,,,,,,,,,,,,,,3,3,1,,
S11,2,fishing_tourism,,,,-2,,,,,,,,,,,,2,1,,,
S12,2,illegal_clearance,,,,,-3,-1,,-2,,,,,,,,,,,,
S13,2,community_fishing,,,-1,,,,,,,,,,,,,,,,,
S14,2,pesticides,,-1,,,,-2,,,,,,,,,,,,,,
S15,3,community_acceptance,,,,,,,,,,,,,,,,,,,,
S16,3,operator_acceptance,,,,,,,,,,,,,,,,,,,,
S17,3,employment,,,,,,,,,,,,-2,-1,-1,2,,,3,,
S18,3,community_income,,,,,,1,,,,,,-1,-1,,2,,,,,
S21,4,climate_impacts,,,,,-2,-2,-3,-3,-1,,,,,,,,,,,
S22,4,climate_resilience,,,,,,,,,,,,,,,,,,,-3,
