Increase,Node
0,StLucia_Lake
0,Biodiversity
0,Aquatic_macro
0,Terrestrial_macro
0,Aquatic_birds
0,Freshwater_fauna
0,Marine_fish
0,Aquatic_flora
2,Wetlands
3,uMfolozi
3,StLucia_Mouth
-1,Invasive_species
0,Forestry
2,Water_fresh
2,Water_marine
-2,Commercial_farming
0,Subsistence_farming
-2,Tourism_fishing
0,Tourism_other
0,Employment_tourism
0,Employment_other
0,Fishing_subsistence
0,Community_acceptance_rural
0,Community_acceptance_farming
0,Community_acceptance_town
0,CC_drought
0,CC_floods
2,CC_resilience
